id,audio,text
198,audio_00198.wav,அதே வந்து பார்த்தீங்கன்னா
867,audio_00867.wav,இந்த மாதிரி மருத்துவம் பார்க்குறதுனால நம்மளுடைய உடல் குறைகள் நிறைவு பெறுது அதாவது நம்ம உடம்பு சரி ஆகிறது
1335,audio_01335.wav,लेकिन क्या कोई भी रिपोर्टर अपनी यात्राओं से लौटने के बाद उन
822,audio_00822.wav,must have troubled you a lot.
517,audio_00517.wav,yet devoted flower.
1579,audio_01579.wav,ஆஞ்சிநேயரை வந்து மக்கள் வந்து தரிசிச்சிட்டு போகிறாங்க அதேமாதிரி கொல்லிமலையில் ஒரு ஃபர்ஸ்ட் ஃபெஸ்டிவல் வருது கொல்லிமலையில இருக்கிற அம் கொல்லிமலையில இருக்கிற சாமியை வந்து எல்லாரும் வந்து
710,audio_00710.wav,no one had to tell me about it.
1755,audio_01755.wav,முற பையன் மேல வந்து மஞ்சள் தண்ணி ஊற்றுவாங்க அதுதான் வந்து உழவர் திருநாள் அப்படின்னு சொல்லுவாங்க இப்போ வந்து நம்ம வந்து இதுதான் இந்த பொங்கலை தான் தமிழர்கள் வந்து பாரம்பரியமாக கொண்டாடிகிட்டு வராங்க
613,audio_00613.wav,किसानों को शिक्षा का अधिकार नहीं था
1206,audio_01206.wav,OUR QUASI REASONING UPON THIS SUBJECT APPLIES TO ALL SEGREGATIONS SO FAR CONSIDERED MONTHLY WEATHER REVIEW JANUARY FIFTEENTH EIGHTEEN SEVENTY SEVEN THAT
1825,audio_01825.wav,AS PRUDENCE HAD TOLD US IT WAS THE REAL COUNTRY AND I MUST ADD IT WAS A REAL LUNCH IT IS NOT ONLY OUT OF GRATITUDE FOR THE HAPPINESS I OWE IT
1632,audio_01632.wav,me and whispered it would be advisable not to.
1138,audio_01138.wav,NO MAN EVER FORGOT THE VISITATIONS OF THAT POWER TO HIS HEART AND BRAIN WHICH CREATED ALL THINGS ANEW WHICH WAS THE DAWN IN HIM OF MUSIC POETRY AND ART WHICH MADE THE FACE OF NATURE RADIANT WITH PURPLE LIGHT
